CO2 Concentration,Predicted_GPP,SW,
389.2222222,1769.722485,149.489,1264.087489
389.4444444,1816.9496,149.489,1297.821143
389.6666667,1864.176715,149.489,1331.554796
389.8888889,1911.40383,149.489,1365.28845
390.1111111,1958.630945,149.489,1399.022104
390.3333333,2005.85806,149.489,1432.755757
390.5555556,2053.085175,149.489,1466.489411
390.7777778,2100.312291,149.489,1500.223065
391,2147.539406,149.489,1533.956719
391.2222222,2194.766521,149.489,1567.690372
391.4444444,2241.993636,149.489,1601.424026
391.6666667,2289.220751,149.489,1635.157679
391.8888889,2336.447866,149.489,1668.891333
392.1111111,2383.674981,149.489,1702.624986
392.3333333,2430.902096,149.489,1736.35864
392.5555556,2478.129211,149.489,1770.092294
392.7777778,2525.356326,149.489,1803.825947
393,2572.583442,149.489,1837.559601
393.2222222,2619.810557,149.489,1871.293255
393.4444444,2667.037672,149.489,1905.026909
393.6666667,2714.264787,149.489,1938.760562
393.8888889,2761.491902,149.489,1972.494216
394.1111111,2808.719017,149.489,2006.227869
394.3333333,2855.946132,149.489,2039.961523
394.5555556,2903.173247,149.489,2073.695176
394.7777778,2950.400362,149.489,2107.42883
395,2997.627477,149.489,2141.162484
395.2222222,3044.854593,149.489,2174.896138
395.4444444,3092.081708,149.489,2208.629791
395.6666667,3139.308823,149.489,2242.363445
395.8888889,3186.535938,149.489,2276.097099
396.1111111,3233.763053,149.489,2309.830752
396.3333333,3280.990168,149.489,2343.564406
396.5555556,3328.217283,149.489,2377.298059
396.7777778,3375.444398,149.489,2411.031713
397,3422.671513,149.489,2444.765366
397.2222222,3469.898628,149.489,2478.49902
397.4444444,3517.125743,149.489,2512.232674
397.6666667,3564.352859,149.489,2545.966328
397.8888889,3611.579974,149.489,2579.699981
398.1111111,3658.807089,149.489,2613.433635
398.3333333,3706.034204,149.489,2647.167289
398.5555556,3753.261319,149.489,2680.900942
398.7777778,3800.488434,149.489,2714.634596
399,3847.715549,149.489,2748.368249
399.2222222,3894.942664,149.489,2782.101903
399.4444444,3942.169779,149.489,2815.835556
399.6666667,3989.396894,149.489,2849.56921
399.8888889,4036.62401,149.489,2883.302864
400.1111111,4083.851125,149.489,2917.036518
400.3333333,4131.07824,149.489,2950.770171
400.5555556,4178.305355,149.489,2984.503825
400.7777778,4225.53247,149.489,3018.237479
401,4272.759585,149.489,3051.971132
401.2222222,4319.9867,149.489,3085.704786
401.4444444,4367.213815,149.489,3119.438439
401.6666667,4414.44093,149.489,3153.172093
401.8888889,4461.668045,149.489,3186.905746
402.1111111,4508.895161,149.489,3220.639401
402.3333333,4556.122276,149.489,3254.373054
402.5555556,4603.349391,149.489,3288.106708
402.7777778,4650.576506,149.489,3321.840361
403,4697.803621,149.489,3355.574015
